,Advanced Economies,Argentina,Australia,Austria,Belgium,Bulgaria,Bahrain,Belarus,Brazil,Canada,Switzerland,Chile,China,Colombia,Cyprus,Czech Republic,Germany,Denmark,Dominican Republic,Algeria,EMDE East Asia & Pacific,EMDE Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Emerging Market and Developing Economies (EMDEs),Spain,Estonia,Finland,France,United Kingdom,Greece,High Income Countries,"Hong Kong SAR, China",Croatia,Hungary,India,Ireland,Iceland,Israel,Italy,Jordan,Japan,Kazakhstan,"Korea, Rep.",EMDE Latin America & Caribbean,Low-Income Countries (LIC),Sri Lanka,Lithuania,Luxembourg,Latvia,Morocco,"Moldova, Rep.",Mexico,Middle-Income Countries (MIC),North Macedonia,Malta,EMDE Middle East & N. Africa,Netherlands,Norway,New Zealand,Pakistan,Peru,Philippines,Poland,Portugal,Romania,Russian Federation,EMDE South Asia,Saudi Arabia,Singapore,EMDE Sub-Saharan Africa,Slovakia,Slovenia,Sweden,Thailand,Tunisia,Turkey,"Taiwan, China",Uruguay,United States,"Venezuela, RB",Vietnam,World (WBG members),South Africa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,5.800582,NA,6.943297,5.373002,6.55026,NA,NA,NA,NA,8.15,0.501328,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,15.48333,0.65,3.103129,7.625,7.091667,NA,5.619945,1.318868,NA,NA,NA,13.41667,NA,NA,NA,NA,2.108117,NA,NA,NA,NA,15.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.783333,7.984591,3.13,NA,NA,3.441667,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.239701,NA,NA,NA,1.658333,NA,5.616667,NA,NA,NA,NA
1991,6.728688,NA,9.614137,5.823096,6.439812,NA,NA,NA,NA,10.31667,1.090451,NA,NA,NA,NA,NA,4.864885,NA,NA,25,NA,NA,NA,NA,NA,15.51667,1.475,6.666424,7.8,8.825,NA,6.771918,1.75018,NA,NA,NA,14.73333,NA,NA,NA,NA,2.099018,NA,NA,NA,NA,14.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.041667,10.61144,6.28,NA,10.475,9.008333,NA,NA,NA,NA,NA,1.75,NA,7.05,NA,4.005607,NA,NA,NA,1.533333,NA,6.85,NA,NA,NA,NA
1992,7.511064,NA,10.75008,5.941711,7.088092,13.235,NA,NA,NA,11.21667,2.563105,NA,NA,NA,NA,NA,5.764563,NA,NA,27,NA,NA,NA,NA,NA,17.06667,3.725,11.79683,8.65,9.966667,NA,7.693434,1.946343,NA,NA,NA,15.4,NA,NA,NA,NA,2.151389,NA,NA,NA,NA,14.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.55,10.64473,5.85,NA,9.85,12.93333,NA,5.45,NA,NA,NA,1.8,NA,11.31833,11.56667,7.110956,NA,NA,NA,1.5,NA,7.491667,NA,NA,NA,NA
1993,7.936175,NA,10.86617,6.811381,8.61913,15.85583,NA,NA,NA,11.375,4.516116,NA,NA,NA,NA,4.333333,6.93137,NA,NA,23.2,NA,NA,NA,NA,NA,20.83333,6.55,16.38421,9.65,10.4,NA,8.192391,1.979785,NA,NA,NA,15.63333,NA,NA,NA,19.7,2.503291,NA,NA,NA,NA,13.8,4.191667,NA,4.658333,NA,NA,NA,NA,NA,NA,NA,NA,6.608333,9.800159,4.73,NA,9.35,15.03333,NA,9.208333,NA,NA,NA,1.675,NA,12.855,14.575,11.14689,NA,NA,NA,1.425,NA,6.908333,NA,NA,NA,NA
1994,7.715897,NA,9.705695,6.54548,9.753554,14.06583,NA,NA,NA,10.39167,4.718465,NA,NA,NA,NA,4.283333,7.340639,NA,NA,24.4,NA,NA,NA,NA,NA,22.05,7.55,16.53442,10.25,9.5,NA,8.052012,1.911372,NA,NA,NA,14.35,NA,NA,NA,15.8,2.890953,NA,NA,NA,NA,13.1,3.625,NA,6.358333,NA,NA,NA,NA,NA,NA,NA,NA,6,8.342465,4.84,NA,9.55,16.50833,NA,10.975,7.00654,NA,NA,1.725,NA,14.62917,14.55,10.76619,NA,NA,NA,1.566667,NA,6.1,NA,NA,NA,NA
1995,7.264255,NA,8.471058,6.589767,9.674164,11.38583,NA,NA,NA,9.466667,4.232892,NA,NA,NA,NA,4.033333,7.091997,NA,NA,28.1,NA,9.683161,NA,NA,NA,20.79167,9.75,15.42648,9.675,8.658333,NA,7.566117,3.040433,NA,NA,NA,12.28333,NA,NA,NA,15.3,3.153574,NA,NA,NA,NA,12.3,6.116667,2.600765,6.35,NA,NA,NA,NA,NA,NA,NA,NA,5.441667,6.451948,5.37,NA,9.5,15.225,7.150996,9.975,8.308334,NA,NA,1.725,NA,13.68083,14.04167,10.42139,NA,NA,NA,1.808333,NA,5.591667,NA,NA,NA,NA
1996,7.233725,NA,8.516425,7.033851,9.544254,11.06167,NA,NA,NA,9.608333,4.665679,NA,NA,NA,NA,3.891667,7.744785,NA,NA,28,NA,9.957589,NA,NA,NA,19.90833,9.95,14.58738,10.125,8.116667,NA,7.495176,2.856618,NA,NA,NA,11.65,NA,NA,NA,12.8,3.350839,NA,NA,NA,NA,11.3,7.133333,2.834639,7.025,NA,NA,NA,NA,NA,NA,NA,NA,4.791667,6.305462,5.37,NA,8.55,14.3,7.25532,7.775,9.268224,NA,NA,1.65,NA,12.605,13.91667,10.90169,NA,NA,NA,2.6,NA,5.408333,NA,NA,NA,NA
1997,6.942783,NA,8.363718,7.103283,9.213055,14.04583,NA,NA,NA,9.091667,5.201972,NA,NA,NA,NA,4.783333,8.564601,NA,NA,28,NA,10.59313,NA,NA,NA,18.4,9.65,12.6308,10.3,6.983333,NA,7.092953,2.238026,NA,NA,NA,9.858333,NA,NA,NA,14.4,3.403121,NA,NA,NA,NA,10.5,5.908333,3.048674,7.475,NA,NA,NA,NA,NA,NA,NA,NA,3.9,6.834242,6.12,NA,8.725,11.50833,6.752381,7.508333,10.82706,NA,NA,1.425,NA,12.91417,14.41667,10.88338,NA,NA,NA,2.725,11.55833,4.941667,NA,NA,NA,NA
1998,6.575284,NA,7.651377,7.184796,9.338434,12.20333,NA,NA,NA,8.291667,3.840284,NA,NA,NA,NA,6.475,8.107018,NA,NA,28,NA,11.13797,NA,NA,NA,16.40833,9.825,11.35479,9.875,6.266667,NA,6.674319,4.362101,NA,NA,NA,7.55,NA,NA,NA,14.4,4.114412,NA,NA,NA,NA,9.2,6.408333,2.829093,7.575,NA,NA,NA,NA,NA,NA,NA,NA,3.1,7.733373,5.89,NA,10.075,10.00833,4.992787,9.275,11.87585,NA,NA,2.575,NA,13.825,14.48333,8.816634,NA,NA,NA,2.7,10.125,4.5,NA,NA,NA,NA
1999,6.260355,NA,6.869885,6.645249,8.409715,13.7825,NA,NA,NA,7.566667,2.713548,NA,NA,NA,NA,8.7,7.482217,NA,NA,29.2,NA,12.5241,NA,NA,NA,13.6,12.25,10.19669,9.575,5.983333,NA,6.471503,6.254171,18.63333,6.925,NA,5.8,NA,NA,NA,11.6,4.683277,NA,NA,NA,NA,8.9,8.383333,2.656168,9.683333,NA,NA,NA,NA,NA,NA,NA,NA,3.041667,7.014643,5.89,NA,9.775,11.99167,4.378613,11.39167,13.02649,NA,4.351138,2.8,NA,17.49083,13.56667,7.565055,NA,NA,NA,2.925,11.2,4.216667,14.50367,NA,NA,NA
2000,5.766112,NA,6.273074,5.803798,6.874202,18.12917,NA,NA,NA,6.833333,1.817696,NA,3.000531,NA,4.85,8.766667,6.874591,NA,NA,29.5,NA,11.41017,NA,NA,NA,11.91667,14.575,9.774099,8.175,5.45,NA,6.132008,5.118915,20.6,6.375,NA,4.483333,NA,NA,NA,13.9,4.714846,NA,4.391667,NA,NA,7.6,11.53333,2.381168,8.408333,NA,8.495868,NA,NA,NA,NA,NA,NA,3.241667,6.143326,7.82,NA,11.2,14.025,3.997374,11.2,10.55905,NA,4.571755,2.6,NA,18.265,12.18333,6.333988,NA,NA,NA,3,13.4,3.966667,13.98188,NA,NA,NA
